zip,ocd
35757,ocd-division/country:us/state:al
35758,ocd-division/country:us/state:al/cd:5
35758,ocd-division/country:us/state:al
35759,ocd-division/country:us/state:al/cd:5
35759,ocd-division/country:us/state:al
35760,ocd-division/country:us/state:al/cd:4
35760,ocd-division/country:us/state:al
35760,ocd-division/country:us/state:al/cd:5
35761,ocd-division/country:us/state:al/cd:5
35761,ocd-division/country:us/state:al
35763,ocd-division/country:us/state:al/cd:5
35763,ocd-division/country:us/state:al
35764,ocd-division/country:us/state:al/cd:5
35764,ocd-division/country:us/state:al
35765,ocd-division/country:us/state:al/cd:4
35765,ocd-division/country:us/state:al
35765,ocd-division/country:us/state:al/cd:5
35766,ocd-division/country:us/state:al/cd:5
35766,ocd-division/country:us/state:al
35768,ocd-division/country:us/state:al/cd:5
35768,ocd-division/country:us/state:al
35769,ocd-division/country:us/state:al/cd:4
35769,ocd-division/country:us/state:al
35769,ocd-division/country:us/state:al/cd:5
35771,ocd-division/country:us/state:al/cd:4
35771,ocd-division/country:us/state:al
35771,ocd-division/country:us/state:al/cd:5
35772,ocd-division/country:us/state:al/cd:5
35772,ocd-division/country:us/state:al
35773,ocd-division/country:us/state:al/cd:5
35773,ocd-division/country:us/state:al
35774,ocd-division/country:us/state:al/cd:5
35774,ocd-division/country:us/state:al
35775,ocd-division/country:us/state:al/cd:5
35775,ocd-division/country:us/state:al
35776,ocd-division/country:us/state:al/cd:4
35776,ocd-division/country:us/state:al
35776,ocd-division/country:us/state:al/cd:5
35801,ocd-division/country:us/state:al/cd:5
35801,ocd-division/country:us/state:al
35802,ocd-division/country:us/state:al/cd:5
35802,ocd-division/country:us/state:al
35803,ocd-division/country:us/state:al/cd:5
35803,ocd-division/country:us/state:al
35805,ocd-division/country:us/state:al/cd:5
35805,ocd-division/country:us/state:al
35806,ocd-division/country:us/state:al/cd:5
35806,ocd-division/country:us/state:al
35808,ocd-division/country:us/state:al/cd:5
35808,ocd-division/country:us/state:al
35810,ocd-division/country:us/state:al/cd:5
35810,ocd-division/country:us/state:al
35811,ocd-division/country:us/state:al/cd:5
35811,ocd-division/country:us/state:al
35816,ocd-division/country:us/state:al/cd:5
35816,ocd-division/country:us/state:al
35824,ocd-division/country:us/state:al/cd:5
35824,ocd-division/country:us/state:al
35896,ocd-division/country:us/state:al/cd:5
35896,ocd-division/country:us/state:al
35901,ocd-division/country:us/state:al/cd:3
35901,ocd-division/country:us/state:al
35901,ocd-division/country:us/state:al/cd:4
35903,ocd-division/country:us/state:al/cd:3
35903,ocd-division/country:us/state:al
35903,ocd-division/country:us/state:al/cd:4
35904,ocd-division/country:us/state:al/cd:4
35904,ocd-division/country:us/state:al
35905,ocd-division/country:us/state:al/cd:3
35905,ocd-division/country:us/state:al
35905,ocd-division/country:us/state:al/cd:4
35906,ocd-division/country:us/state:al/cd:4
35906,ocd-division/country:us/state:al
35907,ocd-division/country:us/state:al/cd:4
35907,ocd-division/country:us/state:al
35950,ocd-division/country:us/state:al/cd:4
35950,ocd-division/country:us/state:al
35951,ocd-division/country:us/state:al/cd:4
35951,ocd-division/country:us/state:al
35952,ocd-division/country:us/state:al/cd:4
35952,ocd-division/country:us/state:al
35952,ocd-division/country:us/state:al/cd:6
35953,ocd-division/country:us/state:al/cd:3
35953,ocd-division/country:us/state:al
35954,ocd-division/country:us/state:al/cd:4
35954,ocd-division/country:us/state:al
35956,ocd-division/country:us/state:al/cd:4
35956,ocd-division/country:us/state:al
35957,ocd-division/country:us/state:al/cd:4
35957,ocd-division/country:us/state:al
35958,ocd-division/country:us/state:al/cd:5
35958,ocd-division/country:us/state:al
35959,ocd-division/country:us/state:al/cd:3
35959,ocd-division/country:us/state:al
35960,ocd-division/country:us/state:al/cd:3
35960,ocd-division/country:us/state:al
35961,ocd-division/country:us/state:al/cd:3
